IDpole	OccurDate	Payment	IDclaim	Guarantee
90169006.100b	38045	1429	1206566	TPL
90104142.10b	38024	5359	1207692	Theft
90141132.100a	38350	5334	8136	Fire
90104996.101a	38024	1011	1207584	Damage
90132175.100a	37655	311	9407	Windscreen
90125553.101b	37966	696	208646	TPL
90126004.101a	38143	12	1202237	TPL
90148059.100a	37927	2606	206344	TPL
90148949.100a	38037	915	1207387	TPL
90130971.100a	37997	333	1209091	TPL
90181309.101a	38261	0	208817	Damage
90183819.100a	37728	336	11516	TPL
90126729.104a	37763	176	12951	TPL
90169258.100a	37946	1752	208164	Damage
90103763.10a	38240	3344	11620	TPL
90166320.102a	37714	0	10493	Damage
90150232.101a	38018	1697	1208406	Theft
90154401.100b	37882	897	204624	TPL
90131676.100a	37999	2175	1208913	Damage
90167848.100b	37901	526	205575	Damage
90134517.100a	38048	339	1207132	Windscreen
1009629.100a	37996	1430	1208998	Damage
90187004.100c	37961	373	208741	Windscreen
90148361.100a	37706	672	10455	TPL
90156703.100a	37787	290	200419	TPL
90151910.100b	38005	3021	1208734	Damage
90180870.100a	38300	499	1202655	TPL
90123573.101b	37906	485	205788	TPL
90161017.100a	38259	275	1207816	Windscreen
90145974.101a	38286	459	200873	Damage
90169939.100a	37895	693	205106	TPL
90149573.101b	38282	1622	201871	Other
90156029.100a	38243	593	202561	Windscreen
90147883.100a	37853	756	203193	TPL
90127452.101b	38215	897	10035	TPL
90127502.101a	37769	1073	12963	TPL
90173829.100a	38026	1492	1207625	TPL
90127362.102a	38304	441	12437	Windscreen
90156882.100a	38017	233	1209380	Windscreen
90191953.101a	37731	296	10983	Windscreen
1009332.100a	37649	1121	12566	TPL
90149611.100a	37935	349	207140	Windscreen
90117859.101b	37645	376	7735	Windscreen
90146125.100a	38206	1518	13080	Theft
90132110.100a	37719	207	11655	Windscreen
90194859.100b	37786	701	200236	TPL
90111464.10a	38236	1425	208053	TPL
90153963.100a	37969	1947	209073	TPL
90153058.100a	37739	2758	11732	TPL
90138205.100a	37881	89	204321	TPL
90146335.100a	38189	75	1204701	Windscreen
90155370.100a	37727	978	11201	TPL
90190145.100a	37793	4918	200679	Damage
80200208.10a	38340	57	1209182	TPL
90104390.101a	38118	607	1203869	Theft
90187083.100a	38170	443	1210236	Windscreen
23.101a	37954	5954	208009	Theft
90172232.100a	38021	1832	1207990	TPL
90132871.100a	37873	323	204011	TPL
90106308.101c	38198	3294	203238	Damage
90135312.101c	37864	897	203454	TPL
90152578.100a	38163	915	1202122	TPL
160.104a	38037	1980	1207086	Damage
90165917.101a	37685	269	12865	TPL
90135367.101a	38257	460	208089	TPL
90128074.101b	38068	602	1205361	TPL
90110856.101d	37740	897	12052	TPL
90154113.100b	38142	189	1202402	Windscreen
90168840.100a	37824	2063	202070	Theft
90116161.101b	37748	20	12241	TPL
20100433.10b	38018	894	1207985	Theft
90146104.100a	37864	614	204143	Fire
90179474.100a	38274	255	9061	Windscreen
90187938.100a	38096	1229	1204205	TPL
90126974.101a	37955	444	208598	Windscreen
90173860.100b	37743	724	11836	TPL
90182278.100a	37731	787	11634	TPL
90183998.100a	37656	25	9643	Other
90151285.100a	37645	263	8333	Windscreen
90124697.101a	37896	458	205162	Windscreen
90165335.100b	37735	8049	11499	Damage
90190328.100a	38021	2419	1207945	Damage
90144772.100a	37888	520	205178	TPL
90170771.100a	38196	224	206080	TPL
90169081.100a	37636	984	8223	Damage
90146163.101a	38269	375	203178	Windscreen
90157897.100b	37823	248	201784	TPL
70200824.101a	37739	276	12134	Windscreen
90113661.101a	37727	312	11202	TPL
90100227.10a	37861	897	203587	TPL
90107148.100a	37679	7985	9045	TPL
90133295.100a	37692	897	9603	TPL
90132141.100a	38090	2569	1204505	TPL
90149206.100b	37983	444	209324	Windscreen
90101038.10a	38351	155	1206650	Windscreen
90160032.100a	38145	276	1202764	Windscreen
90157912.100b	38335	260	203776	TPL
90104657.102b	38211	199	1207497	TPL
90146500.100a	38290	219	13233	Windscreen
90100736.10a	37663	186	8892	Windscreen
90109725.100a	37927	196	206278	Windscreen
90171829.100b	37708	2326	10405	TPL
90135403.100a	38281	251	1208239	Windscreen
90154181.100b	38167	7527	1201304	TPL
90168867.100b	38242	289	202543	Windscreen
90144870.101a	37779	519	200321	TPL
90103993.101a	38012	123	1208672	Windscreen
90104457.101b	38177	2592	204800	TPL
90163127.100b	38218	86	1203312	TPL
90165998.100b	37707	13608	10325	Damage
90105886.10a	38095	873	1204474	TPL
90186790.100a	37634	365	8234	Windscreen
90107373.101a	37872	308	203994	Windscreen
90147661.100a	37748	105	12275	Windscreen
90131254.101a	37969	897	208663	TPL
90132844.100a	38206	4428	205619	Damage
90118500.102a	38293	334	205159	Windscreen
90131393.100a	37777	776	200041	TPL
90145898.101a	38053	250	1206276	Windscreen
90133289.100a	37750	2431	12080	Other
90192851.101a	37733	708	11469	TPL
90159148.100b	38043	208	1206655	TPL
90152552.100c	37762	897	13572	TPL
90157490.100a	38295	272	8357	TPL
90159341.100d	38222	2818	9731	Fire
90132129.100b	38227	1121	12695	TPL
90147339.100a	38263	1139	12446	Other
90104606.100a	38195	4379	206052	Other
90172076.100a	37636	0	8426	TPL
90179718.100a	37932	778	206872	Theft
90104129.103a	38180	223	12920	Windscreen
90163016.100a	38309	673	1208943	Windscreen
90167279.100a	38204	343	201269	Windscreen
90126061.101a	37662	22	8493	TPL
90104480.101a	38089	162	1205566	Windscreen
90149088.100a	38073	196	1205584	TPL
90139796.100a	37707	9266	10218	TPL
90156051.100a	38265	2401	1204984	TPL
90189112.100a	38244	138	203369	Theft
90157402.101a	37710	5924	10222	Theft
90176029.100b	37909	1194	206132	TPL
90179417.100a	38117	369	1203829	TPL
90128174.101c	38173	616	203852	TPL
90144539.100a	38233	216	210474	Windscreen
90155201.101b	38271	43	201941	TPL
90105743.10a	38019	1892	1207924	TPL
90154080.100a	37796	572	201826	Windscreen
90176409.100a	38325	867	9877	Damage
90156623.100a	38184	605	1202561	Windscreen
90187257.100a	37804	897	204720	TPL
90119181.101b	38057	75	1206115	Windscreen
90125793.101a	37893	63	204894	Windscreen
90160107.100a	37678	55	8967	TPL
90172696.100c	38240	263	9411	Windscreen
90168942.100a	38262	129	204246	Windscreen
90151851.101a	38047	2028	1206556	Theft
90172878.100a	38289	312	203025	Windscreen
90112433.101a	37846	412	203057	TPL
90132376.102b	37879	431	204313	TPL
90188397.100a	37773	332	13414	Windscreen
90189970.100a	37776	247	200517	Windscreen
90128827.100b	38201	694	200442	Theft
90115231.103a	37905	1525	205402	TPL
90152942.100b	37725	1582	11086	Theft
90160071.100b	37703	85	10114	TPL
90135274.100a	37994	494	1209293	Damage
90134918.100a	38271	123	1203046	Windscreen
90151613.100a	38346	509	1202400	Windscreen
80200028.10a	37677	204	9838	Windscreen
90126491.101a	38017	357	1208625	Windscreen
90151353.102a	37669	897	8886	TPL
90139279.101c	38316	1070	12379	TPL
90187216.100a	38007	273	1208821	Windscreen
90168081.100a	37704	897	10919	TPL
90132603.101a	37885	99	204639	TPL
90167564.100a	38193	0	206213	Other
90126715.101a	38022	456	1208507	Windscreen
90146458.102a	38243	1576	206813	Theft
90151549.102a	37699	24	9997	TPL
90178166.100a	38089	915	1204602	TPL
90149908.100a	38339	1627	203433	Damage
90104694.100b	37938	263	206966	Windscreen
90134316.101a	38266	541	201407	Windscreen
90103648.10a	37708	6409	10353	Theft
1005076.100a	38261	969	204940	Fire
90157605.100b	38303	299	205995	TPL
90126301.101b	38076	124	1205250	Windscreen
90133044.100a	38036	87	1207055	TPL
90155993.100a	37676	1031	8832	Damage
90126491.101a	37624	104	6847	TPL
90165915.101a	38296	167	8381	Windscreen
90189115.101a	38063	199	1205681	TPL
90144625.100a	38150	355	1202767	Windscreen
90147490.100a	38183	132	8118	Windscreen
90157897.100b	37952	266	208012	TPL
90101634.10a	37941	195	207242	Windscreen
90114434.102a	37794	228	200843	TPL
90174235.100a	37844	73	202846	Damage
90149736.100a	37867	102	203523	Windscreen
80100260.101a	38027	2762	1207657	TPL
90133737.100a	37707	897	10404	TPL
90149781.101c	38075	27	1205572	TPL
60100379.101b	37879	1485	204441	TPL
90164896.100a	38173	1004	204436	TPL
70200073.10c	38004	49	1209139	Windscreen
90151753.100a	38213	85	202874	Other
90141550.100a	37956	196	208343	Windscreen
90116451.101a	38326	899	201500	Theft
90105240.101a	37824	897	202199	TPL
90134403.100c	38134	361	1202507	Theft
90145195.101a	38303	10188	1205012	TPL
90135248.100b	38027	61	1207970	Windscreen
90110381.101a	37891	1387	204708	TPL
90107971.101a	37848	336	203070	TPL
90146716.100a	37804	247	201526	Windscreen
90179045.101a	37665	71	8823	Damage
40202177.101d	37656	0	9263	TPL
80201168.101a	37684	335	9600	TPL
90160035.101a	38200	101	206952	TPL
90155228.101c	37954	5254	208866	Theft
90159947.100a	38327	8686	206833	TPL
90104642.10a	37972	897	208869	TPL
1005092.100b	37951	119	207715	Windscreen
90147952.100b	37818	0	204593	TPL
90112640.101a	38198	317	205383	Windscreen
90144865.104b	38145	709	1202769	Windscreen
30100052.101b	37711	0	13671	TPL
90134598.100b	38255	3476	200760	Theft
90181147.100a	38255	0	12450	Damage
90148825.103b	38077	942	1205261	TPL
1007002.101b	37684	322	10489	Windscreen
90149065.100a	38050	196	1207203	Windscreen
90182222.100a	38258	3430	7445	TPL
90120966.101b	37850	1794	203142	TPL
90167164.100a	37945	71	209814	Windscreen
90179470.100a	37956	5550	208144	Damage
90108304.101b	38193	256	206991	TPL
90119152.101a	37685	11242	9498	Theft
90151546.100a	38346	231	1203380	Windscreen
90106349.101a	37705	3457	9996	TPL
90134976.100a	37831	77	202551	TPL
90185788.100c	38102	915	1204209	TPL
90134527.100a	38206	315	12540	Windscreen
90172009.100a	37720	497	10792	TPL
90170184.100a	37740	0	11929	TPL
90155422.100a	38288	1008	207655	Windscreen
1007397.102a	37822	265	201682	TPL
90190020.100b	37898	394	205679	TPL
90146503.100a	38125	319	1202974	TPL
90170594.100b	37697	897	10049	TPL
90128405.101b	37949	391	208451	Windscreen
90168670.100a	37709	334	11129	Windscreen
90188046.100c	37865	907	203999	TPL
90154514.100a	37743	450	12876	Windscreen
90141070.100b	37930	83	207049	Other
90188071.100a	37720	0	11342	Windscreen
90171193.101b	38071	215	1206253	Windscreen
90157120.102b	37948	349	207875	Windscreen
90161368.100d	38308	1417	209561	Damage
90132416.100b	37970	255	209452	Windscreen
70200914.10b	38294	3160	207752	TPL
90144924.100a	38180	2444	1207211	Damage
90128092.100b	38143	139	1202443	Windscreen
90152186.100d	37628	2242	7169	Damage
90131596.100c	37732	0	11296	TPL
90150855.100a	37656	201	8306	TPL
90167903.101a	38052	266	1206696	Windscreen
90170560.100a	37781	2201	200466	TPL
90151975.100a	37944	861	207542	Theft
90178240.100a	37943	213	207804	Windscreen
90146337.100a	37983	320	209728	Windscreen
90132064.100a	38266	2522	11718	TPL
60100035.10b	37956	240	209140	Windscreen
90127287.101a	38114	497	1203691	TPL
90166932.100a	37783	261	200727	Windscreen
90149202.100a	37658	546	8501	Damage
90156856.100a	37640	946	8358	TPL
90151354.100b	37692	240	9883	TPL
90108128.101c	38325	20384	12859	TPL
90112238.101a	37906	72	205325	TPL
90179982.101a	38060	131	1206517	Windscreen
90132504.101a	38058	356	1205886	Windscreen
1009563.100a	37958	505	208269	TPL
90184070.100b	37841	251	202961	TPL
1009629.100a	37807	1843	201053	TPL
90155606.100b	38173	132	7944	TPL
1003124.101a	37747	632893	12031	TPL
90151907.100a	38085	2203	1204643	TPL
90120549.101b	38250	897	206704	TPL
90166804.100a	38292	263	9573	Other
90126715.101a	37951	447	208507	Windscreen
90105006.101a	37718	0	11285	TPL
90174075.100a	38324	421	7539	Windscreen
90117998.101a	38236	534	208973	Windscreen
90139456.100a	38209	4181	201770	Damage
90155205.102b	37737	367	12260	Windscreen
90152594.102a	37860	897	203738	TPL
80100140.100b	38224	364	207428	TPL
90169076.100a	37737	1646	11524	Damage
90124794.101a	38075	1461	1205301	TPL
90134598.100a	38135	285	1203671	Windscreen
90111488.101a	38125	343	1202872	Windscreen
70207517.101b	38275	1794	205467	TPL
90156717.100a	38302	2958	203075	TPL
90171287.100b	38278	473	9164	TPL
90166328.100a	38222	1415	12666	TPL
90178260.100a	38193	75	7607	Damage
90104643.102a	38028	28	1207613	TPL
90158213.100a	37830	415	202291	Windscreen
90156882.100a	37956	228	209380	Windscreen
90147843.100a	38094	17	1204163	TPL
90119950.101a	38288	922	201629	Theft
50200114.101a	37737	149	11791	Windscreen
90170727.100a	37628	80	7647	Windscreen
90160944.101a	38257	93	11901	Windscreen
90191223.100c	38263	1610	200150	Theft
90133198.100b	37752	1367	12403	Damage
90182211.100a	38282	897	206485	TPL
90151855.100a	38282	189	203923	TPL
90152214.101a	38047	501	1207538	Windscreen
90187079.100b	38321	251	208981	Windscreen
90132096.100b	38164	915	1201521	TPL
90148791.102a	37702	555	10030	TPL
90104617.101b	37721	294	11404	Windscreen
90175930.100a	38288	220	1204420	Windscreen
90149617.100b	37846	214	203254	Windscreen
90189966.100c	38132	350	1203175	Windscreen
90168497.100a	37693	523	9985	Damage
90111514.100a	38201	492	1203408	Windscreen
1009295.100a	37735	793	11378	TPL
90126115.101a	38310	284	12615	Windscreen
90145455.100a	38250	1507	206207	Fire
90110864.101a	37946	310	207955	Windscreen
90151370.100a	37844	441	202741	Windscreen
90157745.100b	38165	59	1201805	Windscreen
90146474.100a	38012	444	1208716	Windscreen
90107935.10a	38243	979	200572	Damage
90113742.101a	38330	721	1201523	Theft
90133456.100a	37677	551	9064	TPL
90165952.100a	38151	580	1203969	TPL
90187354.100a	38276	897	11250	TPL
90158059.100b	37826	911	202075	TPL
90144917.100a	38245	3811	1208884	TPL
90182035.100a	37642	2534	7395	TPL
90153132.100c	37929	1121	206772	TPL
90152326.100d	37950	4203	208190	TPL
1011037.100a	38094	915	1204232	TPL
90187801.101a	37946	338	207524	TPL
90166022.100b	37989	1519	1209970	Theft
90109510.100a	37947	1177	207503	TPL
90185837.100a	37924	356	206510	Windscreen
90152461.100a	38052	105	1206385	TPL
90116863.102e	37665	73	8941	Windscreen
90134896.100a	38014	3286	1208165	Damage
90179756.100b	37996	152	1208993	Windscreen
90170353.101a	38322	60	200866	Windscreen
90189161.100a	38115	220	1204353	Windscreen
70200925.10a	37843	20901	202841	TPL
90125574.101b	37731	638	11036	Theft
90106889.10b	38177	444	206713	Windscreen
90172981.100a	37646	442	7753	TPL
90194089.100a	38213	4495	204764	Theft
90123575.101a	37835	6170	202330	Damage
90126734.100b	37952	897	208169	TPL
90167899.100a	38241	8792	201546	Damage
90145689.100d	38073	9488	1205429	TPL
90149475.100a	38321	715	1206021	Theft
90168399.100a	38107	518	1204299	Windscreen
90109447.101a	37712	505	10546	TPL
90134387.100a	38305	374	201624	Other
90177972.100b	38039	199	1207127	TPL
90105084.101b	37691	129	10128	Theft
10100142.101a	37732	282	11583	Damage
90193286.100a	37815	305	201507	Windscreen
90104507.101b	37737	6597	11556	TPL
90149083.101a	38213	1037	207874	TPL
90147704.100a	37857	159	203631	Windscreen
90118063.101b	38065	715	1205921	TPL
90129062.101b	37660	261	8867	Windscreen
90103939.104a	38001	297	1209168	Windscreen
288.101b	37672	897	8878	TPL
90108280.101b	37683	49	9199	TPL
90147015.101a	38000	0	1209252	TPL
90153781.100b	38201	720	201275	TPL
90166526.100a	37669	64	8826	TPL
90151609.101a	38237	1830	1205973	TPL
90124801.101a	37755	76	12533	TPL
40201170.10a	38069	439	1205913	TPL
1003110.100a	38336	368	201875	TPL
90104996.101a	37949	991	207584	Damage
90192864.100b	38314	1108	1206372	Theft
90120371.100a	38050	915	1206295	TPL
90123573.101a	38068	495	1205788	TPL
90132870.100d	38129	915	1202958	TPL
90172664.100a	37841	68	202713	TPL
80100161.10b	37977	576	209088	TPL
90159145.100a	37688	2452	9387	TPL
90160261.101a	37980	363	209723	Windscreen
90155392.100a	38208	6216	1202452	TPL
90176212.100a	38121	507	1203412	TPL
90193075.100b	37804	226	201647	Windscreen
90146015.100a	37976	897	208965	TPL
90179876.100a	38330	134	202399	TPL
90151954.100a	37622	332	6841	Windscreen
90128256.101b	37725	608	10948	TPL
90191139.100a	37922	475	206870	Windscreen
90179558.100a	38106	371	1203572	Windscreen
90148205.100a	38217	451	209303	Windscreen
90131746.104b	37788	459	200304	Windscreen
1011151.100a	38179	5702	204533	TPL
90152946.100a	37918	7271	205894	TPL
90132099.102a	38159	559	1201540	TPL
90148369.100a	38142	680	1203230	Damage
90151919.100a	37829	47	202571	Windscreen
90153403.100a	38330	284	11937	Windscreen
90134631.100a	37970	1709	208706	TPL
90154919.100a	38225	812	205208	TPL
1001171.100a	37965	505	208566	TPL
1007609.102a	38200	1209	9446	TPL
90111342.10a	37640	525	9517	Other
90127058.101b	37886	267	204687	Damage
90163285.100b	37702	262	11426	Windscreen
90157831.100b	37876	282	204099	Damage
90127058.101c	38088	144	1204691	Windscreen
90178329.100a	37962	665	208634	Theft
90180952.101b	38214	0	1206287	Damage
90172474.101b	38345	296	208649	Damage
90105743.100a	37678	1850	8985	TPL
90188130.100b	38246	72	205204	TPL
90167981.102a	37750	1121	12659	TPL
90163202.100a	38190	199	1208443	Windscreen
90145177.101b	37655	229	9336	Windscreen
90129672.101a	37746	18	12110	TPL
60100422.10b	37698	3913	9892	TPL
90156518.100a	37624	484	6983	TPL
90165907.100a	37698	897	9977	TPL
90126039.101b	38004	287	1209166	Windscreen
40100296.101a	37961	897	208648	TPL
90172043.100a	38210	561	206043	TPL
90112488.101a	38084	234	1209306	Windscreen
90106813.10a	37652	1676	8050	Damage
90132504.104a	38036	451	1207400	Windscreen
90131287.100a	38031	381	1207420	Windscreen
90108362.101c	38313	1157	1203732	TPL
90173057.101a	37839	323	204961	Windscreen
70201513.100a	38085	258	1205660	Damage
90187898.101c	38296	3051	1203054	Theft
90152270.100b	38101	915	1204184	TPL
90132319.100c	38226	3196	204486	TPL
90124575.101b	37650	286	8418	Windscreen
90105309.101a	38045	902	1206384	TPL
90145141.100b	37668	88	8737	TPL
90103596.10a	38101	272	1204548	Windscreen
90180507.100a	38312	6647	205707	TPL
90146075.101a	37720	1834	10801	TPL
90104696.101b	37766	877	12860	TPL
1001941.100a	37965	276	209377	Windscreen
90176037.100c	37905	95	205583	TPL
90151588.100a	38305	51	1201608	TPL
90103504.10a	37662	897	8321	TPL
60200030.10a	38142	541	1202248	Other
90111873.100a	38272	97	10692	Other
90155136.100b	37646	110	8207	Windscreen
90176330.100a	38134	915	1203018	TPL
90132224.100a	38181	1660	204252	TPL
90108748.101a	38212	136	1205872	Windscreen
90177813.100a	38032	394	1207469	Windscreen
90154357.101a	37931	185	206859	Windscreen
90180644.100a	37636	897	7861	TPL
90155875.100a	37749	1921	12229	Other
90177917.100a	37679	897	11858	TPL
90186146.100c	37779	591	200015	TPL
90168057.101a	38300	7180	206648	Other
90179202.101a	38201	446	8712	TPL
90177813.100a	37941	386	207469	Windscreen
90148884.100b	38267	0	12526	TPL
90190036.101d	37741	439	11945	Windscreen
90161215.101a	37910	897	206401	TPL
90125362.101a	38304	0	10215	TPL
90134721.100a	37788	245	200767	Windscreen
90181706.100a	38202	90	1204867	Windscreen
90109440.101a	37901	2789	205187	TPL
90162884.100a	37755	46	12521	TPL
90149279.101b	38094	675	1204194	TPL
90145141.100a	38011	0	1208837	Windscreen
1000775.101a	37756	897	13709	TPL
90189434.100a	38160	2375	1201752	Damage
90148444.100b	38272	33	201211	Theft
90150359.100a	38155	427	1204688	Damage
90111314.101a	37772	2327	13178	TPL
90163068.100a	38279	1117	207386	TPL
90182426.100b	38222	187	11265	Windscreen
90181454.100a	37730	870	10997	TPL
90151253.100c	38040	564	1206923	TPL
195.100a	37749	83	12504	Theft
90152230.100a	37723	2161	10777	TPL
90122963.101a	38045	915	1206705	TPL
90139324.100a	37731	63	11242	TPL
90116859.100a	38296	3594	204417	TPL
90100749.101b	37875	0	204262	Damage
90145712.100a	37739	165	12285	Windscreen
90110685.106b	38167	111	1201731	Theft
1002364.100a	38050	620	1206309	TPL
90104720.100b	38067	464	1207893	Windscreen
90155165.100b	37861	339	205138	Windscreen
90180196.100a	38242	4203	209207	TPL
90175960.100a	38176	897	204460	TPL
90157816.100a	38349	1495	204489	TPL
90152859.101a	38052	377	1206271	Windscreen
90181834.100a	37889	897	204934	TPL
90109153.101c	38290	89	11805	Other
90149100.100a	37871	353	204849	Windscreen
90165063.101a	37957	330	209503	Windscreen
90173061.100c	37876	214	204850	Windscreen
90152357.100a	38186	985	11867	TPL
47738960.100a	38114	115	1203984	Windscreen
70200081.101a	38194	897	206084	TPL
90103953.101b	37770	0	13249	TPL
70200822.101a	38312	287	9864	Windscreen
90131002.100a	38282	679	11018	Windscreen
90155361.100b	38208	8574	201158	TPL
90167845.100a	38188	2289	204594	Theft
1002352.100c	37707	343	10451	TPL
90111560.101b	38097	14775	1204110	TPL
90146795.100a	37972	876	208903	Theft
90120468.102a	37694	3555	10033	TPL
90144783.100a	38249	915	1203637	TPL
90158852.100b	37864	284	204347	Windscreen
90108658.101a	38148	288	1202066	TPL
90131557.101b	38288	75	203293	Windscreen
90104660.101a	37679	0	9753	TPL
90157435.101a	37705	1267	10003	Damage
90151564.100a	37910	277	205629	TPL
90147735.100a	37970	286	208926	Windscreen
90119358.101a	37641	900	7400	Theft
90128681.101a	37740	274	11742	Windscreen
90108818.101b	37703	232	13810	Windscreen
90105240.101a	38150	915	1202199	TPL
90157475.100a	37664	238	8349	Windscreen
90127085.100a	37859	70	203728	Theft
90190836.100a	37697	897	13751	TPL
90165232.101c	37872	197	204591	Windscreen
90146163.100a	38254	174	206832	TPL
90153132.100b	37743	1766	12041	Theft
90146796.100a	37692	492	9568	TPL
90106760.102a	38311	683	207175	TPL
90158564.100a	37629	388	7190	TPL
70200925.10a	38131	21319	1202841	TPL
80100089.101a	37832	351	202579	TPL
1003407.100c	38172	89	12441	Windscreen
90126700.100a	37823	168	201917	TPL
90125171.102a	37825	1147	201858	Damage
90145482.100a	37796	0	200782	Damage
1007790.100c	38198	1102	1205465	TPL
90114358.102c	38299	801	1208542	TPL
90152948.100a	37643	231	8693	Windscreen
90154259.100a	38009	1429	1208426	TPL
90194050.101a	38018	1631	1208310	Damage
90104643.102a	37945	27	207613	TPL
1002160.100a	37943	89	207737	Windscreen
90105015.101a	37984	213	210266	Windscreen
90133878.100a	38269	208	1208737	Windscreen
90180842.100a	38076	122	1205699	Windscreen
90134504.100a	38206	1152	202212	TPL
90185933.101a	37888	1126	204592	TPL
90194819.100a	37895	256	207074	Windscreen
90178164.100a	37704	0	10318	Fire
90194829.100a	38099	3711	1204274	TPL
90160059.102a	38282	3467	206242	Damage
90179843.101a	38303	444	209899	Windscreen
90145704.100b	38287	270	1208685	Windscreen
90134764.100a	38175	1752	209395	Other
90178004.100a	37682	31	9176	TPL
90129468.100a	37984	225	209591	TPL
90186835.100a	37650	0	8246	Other
90166479.100a	38142	5517	1202332	Theft
90104715.100b	38321	521	1205769	Theft
90128814.100a	38174	1164	13087	Other
90100941.10c	37695	347	10002	Theft
90164568.101b	38079	14	1205670	TPL
90108435.101b	38284	505	206371	TPL
90163200.100a	38220	1008	1203415	Theft
1002792.100b	38141	426	1202126	TPL
90147723.100a	37866	618	203856	TPL
90141302.100a	37684	0	9316	TPL
90179470.100a	38133	374	1202661	Windscreen
90131354.101a	38108	280	1204155	Windscreen
90132237.100b	37733	0	11626	TPL
90134847.100a	37623	265	7049	Windscreen
90145839.100a	38100	242	1204963	Windscreen
90160088.100a	38274	273	11562	Windscreen
80200407.10a	38310	613	207581	Damage
90161064.100a	37758	0	13272	TPL
90158978.100a	38269	95	1203976	Windscreen
90107853.101a	38032	1072	1207168	Damage
90152258.100a	38262	553	1203476	Damage
10100159.102a	38128	2373	1204017	Damage
90173968.103a	38239	1752	207780	Other
90163300.100b	37971	1680	208802	TPL
70207917.102a	38327	487	205597	TPL
90117552.101b	38333	3043	1208419	Damage
40201170.10a	37905	430	205913	TPL
90174038.100a	37989	267	1209724	Windscreen
14223300.100a	38115	128	1203931	Windscreen
90187216.100a	37966	268	208821	Windscreen
90177986.100b	38255	1121	13725	TPL
90163015.100a	38125	104	1203440	Windscreen
90159045.100c	37746	469	11904	Windscreen
90183980.100a	38233	388	1202809	Windscreen
90113379.101a	37781	897	200993	TPL
70202921.10a	38012	202	1208393	Theft
90133029.101b	37859	320	203929	Windscreen
90108433.100b	37659	0	8399	Damage
90194642.100a	38317	522	205450	Windscreen
90126774.100a	38215	254	203803	Windscreen
90168283.100a	37880	241	204240	Windscreen
90156023.100a	38071	91	1205561	Windscreen
90131012.100a	38167	1176	1201346	Damage
90160071.100a	38223	77	1203293	Windscreen
90134233.100a	38026	0	1207447	TPL
90152541.103a	37836	266	202816	Windscreen
90157753.100b	38263	1664	12279	Damage
90113048.101b	37835	250	203333	Windscreen
90124561.101a	37818	279	203072	Windscreen
70206630.10c	38207	445	207256	Windscreen
90139016.100a	38056	335	1206046	Windscreen
90145709.102a	38306	24	207635	Other
90135316.100b	38177	281	9545	Windscreen
80201160.101a	37644	0	7558	TPL
90193259.100b	38128	662	1203087	TPL
90148776.102c	38287	112	1208704	Windscreen
90144897.101a	38323	195	207639	TPL
90167873.100a	37809	1355	201240	Damage
90180489.100a	38127	911	1204144	Damage
90132287.100a	37940	735	207638	Theft
90152911.100a	37731	809	11195	Theft
90167915.100a	38187	358	1208850	Windscreen
90109476.101a	37622	4373	6905	Damage
90105330.101a	37997	515	1209264	TPL
90149477.100a	38204	167	204597	Windscreen
30200147.100b	38239	1420	10844	TPL
90133752.101a	37814	407	201442	TPL
90172501.100a	37855	981	203519	TPL
90187214.100a	37789	120	201343	Windscreen
90110884.101b	37909	195	205734	TPL
90188005.100a	37951	154	208630	TPL
1005327.102a	38030	318	1207294	Windscreen
90159177.101a	38081	456	1205177	TPL
90127296.100a	38044	199	1207039	TPL
90177902.100a	37682	1891	9646	TPL
90182504.100a	38123	17	1203110	TPL
90124780.100b	37800	97	201244	Windscreen
90141550.100a	38017	200	1208343	Windscreen
90147264.101a	37994	607	1209575	Damage
90132375.100a	37638	58	7351	TPL
90190296.100a	37856	429	203144	TPL
90178220.100a	38331	680	202590	TPL
90167434.100a	37823	610	202106	TPL
90146074.100a	37903	1752	205718	Damage
90147734.100a	37818	3436	201822	TPL
90192993.101a	37967	5604	209061	TPL
1002109.100a	38335	219	7377	Windscreen
90155056.100a	38031	516	1208729	TPL
90104126.101a	37670	186	9419	Windscreen
90185391.100b	38254	2228	209093	TPL
90178056.100b	37762	49	12613	Windscreen
90145541.100a	37938	56	207207	TPL
90185392.100b	37877	553	204684	Damage
90133561.100a	37777	287	200525	Windscreen
90180361.100b	38321	365	207429	Windscreen
90163328.100c	37936	0	207174	TPL
90167981.102a	38186	459	1208113	TPL
90172100.100a	38287	1811	200486	TPL
90128693.101a	38289	1020	13048	TPL
90159874.100a	38276	144	8539	TPL
90159664.100a	38183	487	205597	TPL
70100061.102a	38122	5945	1203005	TPL
90157646.100a	38347	1481	201827	Fire
60100028.10a	37900	1426	205304	TPL
90183171.101a	38350	99	202648	TPL
90187884.100a	37645	48	7742	TPL
90146078.101a	38341	237	209465	Windscreen
90194509.100a	38064	1215	1206578	TPL
90100728.10a	37852	100	203826	Windscreen
90131675.100a	37622	145	7366	Windscreen
90154164.100a	38050	915	1206736	TPL
90149076.100a	37916	267	206493	Windscreen
90145830.100a	37741	11501	11760	TPL
90136865.100a	38095	239	1204891	Windscreen
90104689.101a	38130	313	1203917	Windscreen
90109639.101a	38136	725	1202604	Damage
70202918.10b	38206	0	1203060	Theft
70200133.101b	37889	444	204816	TPL
